state,district,crop,season,area_ha,temperature_c,rainfall_mm,yield_tons_per_ha
Punjab,Patiala,Maize,Kharif,9.988304703442026,28.0,366.6,3.09
Haryana,Jalandhar,Maize,Kharif,48.52558275593772,31.4,621.3,3.5
Punjab,Malerkotla,Rice (Paddy),Kharif,26.713958352661066,29.6,762.3,3.63
Haryana,Malerkotla,Sugarcane,Kharif,43.13707993007971,26.2,1297.4,84.25
Punjab,Amritsar,Cotton,Kharif,12.810247835274573,32.7,563.0,2.07
Haryana,Samrala,Cotton,Kharif,16.273842728381137,32.6,334.1,1.8
Punjab,Amritsar,Wheat,Rabi,23.037952535118517,19.8,158.7,3.36
Haryana,Bathinda,Wheat,Rabi,48.29751005594276,16.3,86.7,3.38
Punjab,Phagwara,Rice (Paddy),Kharif,38.839993695536215,32.3,954.6,3.84
Punjab,Malerkotla,Cotton,Kharif,17.214003217779812,29.8,419.1,1.74
Punjab,Samrala,Sugarcane,Kharif,28.500927866537356,26.1,1072.3,77.29
Punjab,Phagwara,Sugarcane,Kharif,26.61390863971771,28.3,1307.6,77.69
Haryana,Patiala,Maize,Kharif,13.215319228294872,29.5,694.8,3.35
Haryana,Malerkotla,Maize,Kharif,43.701568919198166,27.3,607.6,3.54
Haryana,Phagwara,Cotton,Kharif,18.45859406577177,29.4,535.0,1.79
Punjab,Malerkotla,Maize,Kharif,34.92936561162325,28.4,439.2,3.03
Haryana,Samrala,Rice (Paddy),Kharif,20.787972381844,27.9,673.1,4.23
Punjab,Ludhiana,Rice (Paddy),Kharif,14.072269699488965,28.4,950.7,4.19
Punjab,Ludhiana,Rice (Paddy),Kharif,12.73853264268165,33.7,425.2,4.18
Punjab,Samrala,Sugarcane,Kharif,12.865836975593869,32.2,1246.4,68.18
Haryana,Khanna,Sugarcane,Kharif,41.00516178774981,24.4,1005.6,78.03
Haryana,Patiala,Sugarcane,Kharif,35.846327089462875,25.8,1086.3,73.59
Punjab,Ludhiana,Wheat,Rabi,42.04779518945907,17.4,118.7,3.96
Haryana,Malerkotla,Cotton,Kharif,26.952878339444318,34.0,326.9,1.94
Punjab,Malerkotla,Rice (Paddy),Kharif,18.111269156020384,32.7,757.2,4.18
Haryana,Malerkotla,Sugarcane,Kharif,48.70952800101055,28.5,1357.7,72.8
Haryana,Jalandhar,Maize,Kharif,11.98919616356743,25.9,499.4,3.02
Haryana,Phagwara,Sugarcane,Kharif,33.223031722716826,29.9,777.5,89.08
Haryana,Phagwara,Maize,Kharif,24.8503654950133,28.6,645.1,3.96
Haryana,Ludhiana,Maize,Kharif,12.279078143836209,31.4,511.3,3.09
Haryana,Ludhiana,Cotton,Kharif,47.0824706332928,33.0,482.7,2.06
Haryana,Bathinda,Sugarcane,Kharif,49.036247602086235,25.5,1068.3,65.67
Punjab,Ludhiana,Sugarcane,Kharif,9.305144587618532,27.0,1219.3,81.6
Punjab,Amritsar,Sugarcane,Kharif,15.469238832527997,30.6,784.0,76.85
Punjab,Khanna,Maize,Kharif,15.528997038742126,27.8,536.5,3.2
Punjab,Patiala,Maize,Kharif,10.51942372209007,29.9,604.6,3.33
Haryana,Jalandhar,Cotton,Kharif,29.364379879870377,34.4,330.0,1.89
Punjab,Patiala,Wheat,Rabi,41.307427472323255,14.0,155.6,3.15
Haryana,Bathinda,Cotton,Kharif,11.575230347345316,31.7,571.0,2.09
Punjab,Phagwara,Cotton,Kharif,7.50452568990552,27.9,320.9,1.57
Punjab,Samrala,Sugarcane,Kharif,22.509599614576167,26.3,853.5,71.12
Haryana,Bathinda,Rice (Paddy),Kharif,9.491421683471444,26.1,681.0,3.58
Haryana,Malerkotla,Maize,Kharif,14.7167609503512,32.8,405.5,2.51
Haryana,Malerkotla,Maize,Kharif,6.687559384838895,26.2,527.5,3.03
Haryana,Patiala,Maize,Kharif,24.234517625278933,28.8,583.9,3.07
Punjab,Phagwara,Wheat,Rabi,31.176654804558606,17.4,66.2,3.77
Haryana,Doraha,Sugarcane,Kharif,25.653676670424296,29.2,1386.7,83.59
Haryana,Ludhiana,Cotton,Kharif,29.7030034823997,33.2,464.8,2.24
Punjab,Ludhiana,Rice (Paddy),Kharif,40.749004660064145,31.5,777.2,4.12
Punjab,Doraha,Maize,Kharif,42.398890237503274,23.3,425.3,2.73
Punjab,Patiala,Wheat,Rabi,35.14012110284338,19.2,164.5,3.57
Haryana,Bathinda,Rice (Paddy),Kharif,28.857493903747958,29.9,931.5,4.37
Haryana,Ludhiana,Maize,Kharif,12.691246129726668,29.4,599.0,3.51
Haryana,Jalandhar,Rice (Paddy),Kharif,3.6207795406210765,29.0,803.2,4.43
Haryana,Patiala,Sugarcane,Kharif,25.158257230818442,25.6,1040.4,65.75
Punjab,Phagwara,Rice (Paddy),Kharif,6.5597654988549525,28.3,840.4,4.06
Punjab,Doraha,Maize,Kharif,37.11474228275944,28.5,606.7,3.25
Haryana,Samrala,Wheat,Rabi,20.43592849575834,17.1,152.4,3.83
Punjab,Khanna,Sugarcane,Kharif,29.483965444112332,29.4,936.5,74.48
Haryana,Khanna,Cotton,Kharif,5.09153511823477,30.0,532.6,2.16
Punjab,Phagwara,Sugarcane,Kharif,13.430426519783799,27.9,863.5,80.51
Punjab,Malerkotla,Cotton,Kharif,14.999892227811175,26.9,527.1,1.54
Haryana,Bathinda,Maize,Kharif,49.65527500984572,23.8,601.2,2.96
Punjab,Bathinda,Sugarcane,Kharif,45.15674251405846,27.6,806.6,68.28
Haryana,Bathinda,Wheat,Rabi,10.217936826464305,16.9,95.9,3.39
Haryana,Khanna,Rice (Paddy),Kharif,14.70841185127834,31.4,599.3,4.18
Punjab,Jalandhar,Maize,Kharif,47.086059529633786,31.4,589.0,3.25
Haryana,Bathinda,Rice (Paddy),Kharif,39.102511903026056,25.7,780.2,4.21
Haryana,Ludhiana,Maize,Kharif,4.112079649910066,25.2,308.7,2.92
Punjab,Bathinda,Maize,Kharif,38.09697890008034,26.1,505.6,2.75
