state,district,crop,season,area_ha,temperature_c,rainfall_mm,yield_tons_per_ha
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Kharif,102.0,30.0,1616.3,3.147
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Kharif,83.0,30.0,1616.3,3.614
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Kharif,189.2,30.0,1616.3,2.7
Andaman and Nicobar Islands,NICOBARS,Sugarcane,Whole Year,5.0,27.0,2911.4,8.0
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Kharif,52.0,30.0,1616.3,1.734
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Kharif,52.94,30.0,1616.3,1.371
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Kharif,2.09,30.0,1616.3,5.77
Andaman and Nicobar Islands,NICOBARS,Rice (Paddy),Autumn,3.5,28.5,1616.3,2.857
Andaman and Nicobar Islands,NICOBARS,Maize,Rabi,3.84,18.5,818.5,4.745
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice (Paddy),Kharif,10779.0,30.0,1616.3,2.956
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year,141.0,27.0,2911.4,26.496
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice (Paddy),Kharif,9718.0,30.0,1616.3,2.782
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year,81.0,27.0,2911.4,29.37
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice (Paddy),Kharif,6854.3,30.0,1616.3,2.771
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,Whole Year,71.3,27.0,2911.4,21.038
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rice (Paddy),Autumn,6791.0,28.5,1616.3,2.962
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sugarcane,Autumn,73.33,28.5,1616.3,12.126
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Maize,Rabi,86.7,18.5,818.5,1.112
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice (Paddy),Kharif,10695.8,30.0,1616.3,2.955
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Whole Year,455.0,27.0,2911.4,30.242
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice (Paddy),Kharif,10509.37,30.0,1616.3,2.927
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Whole Year,268.0,27.0,2911.4,10.744
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice (Paddy),Kharif,10681.98,30.0,1616.3,2.726
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Whole Year,145.26,27.0,2911.4,10.739
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice (Paddy),Kharif,8683.38,30.0,1616.3,2.979
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Whole Year,128.02,27.0,2911.4,19.124
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice (Paddy),Kharif,921.87,30.0,1616.3,2.755
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Whole Year,53.5,27.0,2911.4,18.682
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rice (Paddy),Autumn,1595.5,28.5,1616.3,2.374
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane,Autumn,67.5,28.5,1616.3,5.956
Andaman and Nicobar Islands,SOUTH ANDAMANS,Maize,Rabi,73.0,18.5,818.5,3.466
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,7300.0,32.0,322.8,1.288
Andhra Pradesh,ANANTAPUR,Maize,Kharif,2800.0,32.0,322.8,1.75
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,35600.0,32.0,322.8,2.118
Andhra Pradesh,ANANTAPUR,Sugarcane,Kharif,700.0,32.0,322.8,104.143
Andhra Pradesh,ANANTAPUR,Maize,Rabi,600.0,20.5,168.2,4.0
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,18000.0,20.5,168.2,2.072
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,300.0,20.5,168.2,0.667
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,14000.0,32.0,322.8,0.921
Andhra Pradesh,ANANTAPUR,Maize,Kharif,3300.0,32.0,322.8,2.03
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,38300.0,32.0,322.8,2.527
Andhra Pradesh,ANANTAPUR,Maize,Rabi,300.0,20.5,168.2,5.333
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,26600.0,20.5,168.2,2.402
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,400.0,20.5,168.2,0.5
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,700.0,29.0,572.7,94.143
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,9453.0,32.0,322.8,1.112
Andhra Pradesh,ANANTAPUR,Maize,Kharif,3358.0,32.0,322.8,2.841
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,37991.0,32.0,322.8,2.766
Andhra Pradesh,ANANTAPUR,Maize,Rabi,455.0,20.5,168.2,4.842
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,20258.0,20.5,168.2,2.254
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,439.0,20.5,168.2,0.67
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,884.0,29.0,572.7,94.034
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,12025.0,32.0,322.8,1.341
Andhra Pradesh,ANANTAPUR,Maize,Kharif,3475.0,32.0,322.8,2.604
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,39905.0,32.0,322.8,2.949
Andhra Pradesh,ANANTAPUR,Maize,Rabi,399.0,20.5,168.2,5.383
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,22099.0,20.5,168.2,2.59
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,520.0,20.5,168.2,0.571
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,284.0,29.0,572.7,89.419
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,8552.0,32.0,322.8,1.059
Andhra Pradesh,ANANTAPUR,Maize,Kharif,2667.0,32.0,322.8,2.673
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,32878.0,32.0,322.8,2.908
Andhra Pradesh,ANANTAPUR,Maize,Rabi,447.0,20.5,168.2,6.472
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,38119.0,20.5,168.2,2.857
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,307.0,20.5,168.2,0.694
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,490.0,29.0,572.7,86.673
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,7638.0,32.0,322.8,0.935
Andhra Pradesh,ANANTAPUR,Maize,Kharif,3541.0,32.0,322.8,0.969
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,29066.0,32.0,322.8,2.282
Andhra Pradesh,ANANTAPUR,Maize,Rabi,1288.0,20.5,168.2,6.936
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,10960.0,20.5,168.2,1.867
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,362.0,20.5,168.2,0.92
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,329.0,29.0,572.7,68.331
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,4212.0,32.0,322.8,1.012
Andhra Pradesh,ANANTAPUR,Maize,Kharif,6246.0,32.0,322.8,1.716
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,17515.0,32.0,322.8,2.563
Andhra Pradesh,ANANTAPUR,Maize,Rabi,1212.0,20.5,168.2,5.6
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,10826.0,20.5,168.2,2.352
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,414.0,20.5,168.2,0.297
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,454.0,29.0,572.7,71.335
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,8933.0,32.0,322.8,0.788
Andhra Pradesh,ANANTAPUR,Maize,Kharif,3495.0,32.0,322.8,2.87
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,24335.0,32.0,322.8,3.495
Andhra Pradesh,ANANTAPUR,Maize,Rabi,3572.0,20.5,168.2,7.229
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,9240.0,20.5,168.2,2.34
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,393.0,20.5,168.2,0.224
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,400.0,29.0,572.7,85.18
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,3295.0,32.0,322.8,1.047
Andhra Pradesh,ANANTAPUR,Maize,Kharif,5958.0,32.0,322.8,3.615
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,25008.0,32.0,322.8,2.798
Andhra Pradesh,ANANTAPUR,Maize,Rabi,1435.0,20.5,168.2,7.471
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,23142.0,20.5,168.2,2.402
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,297.0,20.5,168.2,0.589
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,227.0,29.0,572.7,90.802
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,1506.0,32.0,322.8,1.288
Andhra Pradesh,ANANTAPUR,Maize,Kharif,4877.0,32.0,322.8,4.138
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,22349.0,32.0,322.8,3.017
Andhra Pradesh,ANANTAPUR,Maize,Rabi,3120.0,20.5,168.2,7.577
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,10846.0,20.5,168.2,2.948
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,190.0,20.5,168.2,0.263
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,339.0,29.0,572.7,91.26
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,3000.0,32.0,322.8,0.667
Andhra Pradesh,ANANTAPUR,Maize,Kharif,7000.0,32.0,322.8,4.571
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,30000.0,32.0,322.8,3.167
Andhra Pradesh,ANANTAPUR,Maize,Rabi,6000.0,20.5,168.2,8.0
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,14000.0,20.5,168.2,2.643
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,1611.0,32.0,322.8,0.77
Andhra Pradesh,ANANTAPUR,Maize,Kharif,6041.0,32.0,322.8,3.459
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Kharif,30306.0,32.0,322.8,3.122
Andhra Pradesh,ANANTAPUR,Maize,Rabi,3658.0,20.5,168.2,8.83
Andhra Pradesh,ANANTAPUR,Rice (Paddy),Rabi,18416.0,20.5,168.2,2.705
Andhra Pradesh,ANANTAPUR,Wheat,Rabi,164.0,20.5,168.2,1.323
Andhra Pradesh,ANANTAPUR,Sugarcane,Whole Year,131.0,29.0,572.7,93.931
Andhra Pradesh,ANANTAPUR,Cotton,Kharif,2063.0,32.0,322.8,0.594
